time_period,area_name,median_monthly_pay
2019-09-01,East Midlands,1722
2019-10-01,East Midlands,1725
2019-11-01,East Midlands,1725
2019-12-01,East Midlands,1736
2020-01-01,East Midlands,1740
2020-02-01,East Midlands,1753
2020-03-01,East Midlands,1744
2020-04-01,East Midlands,1701
2020-05-01,East Midlands,1710
2020-06-01,East Midlands,1739
2020-07-01,East Midlands,1773
2020-08-01,East Midlands,1791
2020-09-01,East Midlands,1799
2020-10-01,East Midlands,1806
2020-11-01,East Midlands,1815
2020-12-01,East Midlands,1821
2021-01-01,East Midlands,1830
2021-02-01,East Midlands,1839
2021-03-01,East Midlands,1851
2021-04-01,East Midlands,1855
2021-05-01,East Midlands,1861
2021-06-01,East Midlands,1869
2021-07-01,East Midlands,1879
2021-08-01,East Midlands,1887
2021-09-01,East Midlands,1899
2021-10-01,East Midlands,1910
2021-11-01,East Midlands,1915
2021-12-01,East Midlands,1930
2022-01-01,East Midlands,1944
2022-02-01,East Midlands,1954
2022-03-01,East Midlands,1972
2022-04-01,East Midlands,1964
2022-05-01,East Midlands,1980
2022-06-01,East Midlands,1991
2022-07-01,East Midlands,2000
2022-08-01,East Midlands,2015
2022-09-01,East Midlands,2035
2022-10-01,East Midlands,2044
2022-11-01,East Midlands,2075
2022-12-01,East Midlands,2074
2023-01-01,East Midlands,2080
2023-02-01,East Midlands,2089
2023-03-01,East Midlands,2096
2023-04-01,East Midlands,2114
2023-05-01,East Midlands,2134
2023-06-01,East Midlands,2189
2023-07-01,East Midlands,2159
2023-08-01,East Midlands,2160
2023-09-01,East Midlands,2157
2023-10-01,East Midlands,2178
2023-11-01,East Midlands,2206
2023-12-01,East Midlands,2206
2024-01-01,East Midlands,2217
2024-02-01,East Midlands,2230
2024-03-01,East Midlands,2241
2024-04-01,East Midlands,2257
2024-05-01,East Midlands,2270
2024-06-01,East Midlands,2278
2024-07-01,East Midlands,2286
2024-08-01,East Midlands,2295
2024-09-01,East Midlands,2308
