time_period,area_code,area_name,region_or_country_name,index,monthly_change,annual_change,rental_price,median_monthly_pay,rent_to_pay_percent,cpih_index,real_rent,real_pay
2019-06-01,E12000008,South East,,89.798733,0.129388,1.79219,1050.0,1949,53.8737814263725,107.9,1382.808155699722,2566.7553290083406
2019-07-01,E12000008,South East,,90.049576,0.279339,1.836213,1053.0,1955,53.86189258312021,108.0,1385.475,2572.2731481481483
2019-08-01,E12000008,South East,,90.302768,0.28117,2.017969,1056.0,1957,53.960143076136944,108.3,1385.5734072022162,2567.7719298245615
2019-09-01,E12000008,South East,,90.42172,0.131726,1.938323,1057.0,1957,54.0112416964742,108.4,1385.6060885608854,2565.4031365313654
2019-10-01,E12000008,South East,,90.492282,0.078036,1.89106,1058.0,1964,53.86965376782077,108.3,1388.197599261311,2576.956602031394
2019-11-01,E12000008,South East,,90.526834,0.038183,1.780837,1058.0,1967,53.78749364514489,108.5,1385.6387096774192,2576.135483870968
2019-12-01,E12000008,South East,,90.614951,0.097338,1.573719,1059.0,1978,53.53892821031345,108.5,1386.9483870967742,2590.541935483871
2020-01-01,E12000008,South East,,90.742334,0.140576,1.63062,1061.0,1984,53.47782258064516,108.3,1392.133887349954,2603.198522622345
2020-02-01,E12000008,South East,,90.810238,0.074832,1.559424,1062.0,1996,53.206412825651306,108.6,1389.596685082873,2611.709023941068
2020-03-01,E12000008,South East,,90.832154,0.024134,1.568118,1062.0,1983,53.5552193645991,108.6,1389.596685082873,2594.6988950276245
2020-04-01,E12000008,South East,,90.888766,0.062327,1.538927,1063.0,1931,55.049197307094765,108.6,1390.905156537753,2526.658379373849
2020-05-01,E12000008,South East,,91.032388,0.158019,1.504966,1064.0,1934,55.015511892450874,108.6,1392.2136279926335,2530.5837937384895
2020-06-01,E12000008,South East,,91.120447,0.096733,1.471863,1065.0,1962,54.28134556574924,108.8,1390.9604779411766,2562.501838235294
2020-07-01,E12000008,South East,,91.162904,0.046594,1.23635,1066.0,1999,53.326663331665834,109.2,1387.1666666666667,2601.2628205128203
2020-08-01,E12000008,South East,,90.960128,-0.222432,0.727951,1063.0,2033,52.28726020659125,108.8,1388.3483455882351,2655.232536764706
2020-09-01,E12000008,South East,,91.11983,0.175573,0.772059,1065.0,2039,52.23148602256008,109.2,1385.8653846153845,2653.314102564102
2020-10-01,E12000008,South East,,91.298988,0.196619,0.891465,1067.0,2044,52.20156555772994,109.2,1388.4679487179485,2659.8205128205122
2020-11-01,E12000008,South East,,91.321369,0.024513,0.877679,1068.0,2057,51.920272241127854,109.1,1391.0430797433546,2679.190650779102
2020-12-01,E12000008,South East,,91.523561,0.221407,1.002715,1070.0,2063,51.866214251090646,109.4,1389.8263254113344,2679.6371115173674
2021-01-01,E12000008,South East,,91.69221,0.184269,1.046784,1072.0,2068,51.83752417794971,109.3,1393.698078682525,2688.5892040256176
2021-02-01,E12000008,South East,,91.765458,0.079884,1.051886,1073.0,2083,51.51224195871339,109.4,1393.7230347349175,2705.6151736745883
2021-03-01,E12000008,South East,,91.991639,0.246477,1.276513,1076.0,2096,51.335877862595424,109.7,1393.7976298997266,2715.0556061987236
2021-04-01,E12000008,South East,,91.993714,0.002256,1.215714,1076.0,2105,51.11638954869358,110.4,1384.9601449275362,2709.4248188405795
2021-05-01,E12000008,South East,,92.212972,0.238341,1.296884,1078.0,2110,51.09004739336493,111.0,1380.0342342342342,2701.1801801801803
2021-06-01,E12000008,South East,,92.488798,0.299118,1.501695,1081.0,2117,51.062824752007565,111.4,1378.9057450628366,2700.410233393178
2021-07-01,E12000008,South East,,92.755884,0.288776,1.747399,1084.0,2123,51.05982100800753,111.4,1382.7324955116696,2708.0637342908435
2021-08-01,E12000008,South East,,93.089795,0.359989,2.341319,1088.0,2135,50.96018735362998,112.1,1379.1685994647635,2706.364852809991
2021-09-01,E12000008,South East,,93.305992,0.232246,2.399217,1091.0,2152,50.69702602230484,112.4,1379.2802491103203,2720.633451957295
2021-10-01,E12000008,South East,,93.853681,0.586982,2.798161,1097.0,2160,50.78703703703704,113.4,1374.6358024691356,2706.6666666666665
2021-11-01,E12000008,South East,,94.154951,0.321,3.102869,1101.0,2161,50.94863489125405,114.1,1371.1840490797547,2691.3067484662574
2021-12-01,E12000008,South East,,94.528246,0.396469,3.282964,1105.0,2172,50.87476979742173,114.7,1368.9668700959023,2690.8561464690497
2022-01-01,E12000008,South East,,94.917057,0.411317,3.517035,1110.0,2189,50.70808588396528,114.6,1376.3612565445028,2714.283595113438
